,SERRINHA,FAZENDAVISTAALEGRE,CARACARAI,OBIDOS_PORTO,ALTAMIRA,PORTOVELHO,MANACAPURU,ITAPEUA,NAZARATH,TABATINGA
1983-06-15 12:00:00,228124160.0,11101312000.0,50176144.0,36378337000.0,,10812376000.0,25146857000.0,25735460000.0,24413424000.0,24413424000.0
1983-07-16 00:00:00,274527550.0,9084625000.0,52273044.0,19807443000.0,,14644659000.0,11551842000.0,11467420000.0,11920243000.0,11920243000.0
1983-08-16 00:00:00,200291580.0,20946690000.0,29752984.0,26912950000.0,,21041275000.0,8256766500.0,8601926000.0,8360492500.0,8360492500.0
1983-09-15 12:00:00,285556740.0,7269814000.0,34789276.0,12192775000.0,,7845837300.0,4607044600.0,4764587000.0,5130726000.0,5130726000.0
1983-10-16 00:00:00,165751060.0,5396825000.0,12280640.0,8588880000.0,,7397941000.0,4088688400.0,4395290600.0,7831604700.0,7831604700.0
1983-11-15 12:00:00,237604980.0,8177349600.0,11198695.0,16273756000.0,,9302238000.0,10568728000.0,11303726000.0,13563522000.0,13563522000.0
1983-12-16 00:00:00,73394940.0,6550328300.0,5062020.5,16662769000.0,,7908372500.0,12299475000.0,13421719000.0,20353300000.0,20353300000.0
1984-01-16 00:00:00,154987660.0,17528697000.0,9072224.0,34015170000.0,,21688564000.0,20483142000.0,21360574000.0,30180348000.0,30180348000.0
1984-02-15 00:00:00,241197800.0,40599114000.0,10191770.0,69708470000.0,,49172845000.0,42631623000.0,45790826000.0,77513286000.0,77513286000.0
1984-03-16 00:00:00,180620900.0,58668405000.0,5249108.0,156049210000.0,,58458160000.0,102656360000.0,105068450000.0,115724010000.0,115724010000.0
1984-04-15 12:00:00,56934176.0,41504236000.0,3655140.5,109777200000.0,,40694608000.0,72083090000.0,73374600000.0,82743500000.0,82743500000.0
1984-05-16 00:00:00,162556750.0,22431412000.0,82559310.0,76115436000.0,,21152604000.0,51190714000.0,51456240000.0,53516382000.0,53516382000.0
1984-06-15 12:00:00,264828800.0,8984279000.0,117334300.0,34368890000.0,,9665529000.0,25769503000.0,26635870000.0,33314888000.0,33314888000.0
1984-07-16 00:00:00,391360400.0,9310679000.0,270892580.0,34371970000.0,,12579444000.0,27713888000.0,28037180000.0,33626997000.0,33626997000.0
1984-08-16 00:00:00,392184100.0,8598457000.0,241344690.0,32914436000.0,,8803580000.0,23273017000.0,23626045000.0,23044170000.0,23044170000.0
